Equipo;Descripción;Barra;Celda;Fila;Resumen;Gabinete;FU1;FU2;FA1
NS10S101;CALDERA-SALIDA DE HUMOS DE V.R.H A;3 CA;21;K;380V -3CA -21K;HA12;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
NG10S101;CALDERA-SALIDA PPAL DE AIRE DE V.T.F A;3 CA;22;A;380V -3CA -22A;HA11;Diazed DII E27 - X3;Termica Unipolar C6;Rele Termico - Elektropristroj
NG10W001;CALDERA-CALENTAMIENTO DE MOTOR V.T.F A;3 CA;22;B;380V -3CA -22B;HA11;Diazed DII E27 - X2;Termica Unipolar C6;
NR10S101;CALDERA-ENTRADA DE HUMOS AL C.A.R. A;3 CA;22;G;380V -3CA -22G;HA11;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
NG10S104;CALDERA-SALIDA DE AIRE DE C.A.R A;3 CA;22;H;380V -3CA -22H;HA11;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
NG11S101;CALDERA- BY-PASS DE AIRE DE  C.A.R A;3 CA;22;J;380V -3CA -22J;HA11;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
NG10S102;CALDERA- ENTRADA DE AIRE AL C.A.R A;3 CA;22;K;380V -3CA -22K;HA11;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL78S102;CALDERA- AGUA ALIMENT. CALDERA LADO IZQ;3 CA;23;A;380V -3CA -23A;HA17;Secc. - NH000 - 35A;Termica Unipolar C4;Rele Termico - Elektropristroj
RL78S101;CALDERA- AGUA ALIMENT. CALDERA LADO IZQ;3 CA;23;B;380V -3CA -23B;HA17;Secc. - NH000 - 25A;Termica Unipolar C4;Rele Termico - Elektropristroj
NX11S201;CALDERA-PURGA CONTINUA DE DOMO LADO IZQ.;3 CA;23;C;380V -3CA -23C;HA16;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL52S103;CALDERA-ATEMP. RECALENTADO LADO IZQ.;3 CA;23;D;380V -3CA -23D;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL54S101;CALDERA-ATEMP. RECALENTADO LADO IZQ.;3 CA;23;E;380V -3CA -23E;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL77S101;CALDERA-ATEMP.100% SOBRECALENTADO LADO IZQ;3 CA;23;F;380V -3CA -23F;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL74S101;CALDERA-ATEMP.40% SOBRECALENTADO LADO IZQ;3 CA;23;G;380V -3CA -23G;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL76S101;CALDERA-ATEMP.40% SOBRECALENTADO LADO IZQ;3 CA;23;H;380V -3CA -23H;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL75S101;CALDERA-ATEMP.100% SOBRECALENTADO LADO IZQ;3 CA;23;J;380V -3CA -23J;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RQ25S102;CALDERA-VAPOR PARA CALENTADOR DE AIRE;3 CA;23;K;380V -3CA -23K;HA12;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL82S101;CALDERA- AGUA ATEMP. ADICIONAL LADO IZQ;3 CA;24;C;380V -3CA -24C;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
NV02M101;CALDERA-SOPLADOR A VAPOR DEL C.A.R;3 CA;24;G;380V -3CA -24G;HA13;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
NV04M101;CALDERA-SOPLADOR A VAPOR DEL C.A.R;3 CA;24;H;380V -3CA -24H;HA13;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
